"iso3","date","confirmed","deaths","recovered","2017"
"AGO",2020-04-28,27,2,6,29784193
"AGO",2020-04-29,27,2,7,29784193
"AGO",2020-04-30,27,2,7,29784193
"AGO",2020-05-01,30,2,11,29784193
"AGO",2020-05-02,35,2,11,29784193
"AGO",2020-05-03,35,2,11,29784193
"AGO",2020-05-04,35,2,11,29784193
"AGO",2020-05-05,36,2,11,29784193
"AGO",2020-05-06,36,2,11,29784193
"AGO",2020-05-07,36,2,11,29784193
"AGO",2020-05-08,43,2,11,29784193
"AGO",2020-05-09,43,2,13,29784193
"AGO",2020-05-10,45,2,13,29784193
"AGO",2020-05-11,45,2,13,29784193
"AGO",2020-05-12,45,2,13,29784193
"AGO",2020-05-13,45,2,14,29784193
"AGO",2020-05-14,48,2,14,29784193
"AGO",2020-05-15,48,2,17,29784193
"AGO",2020-05-16,48,2,17,29784193
"AGO",2020-05-17,48,2,17,29784193
"AGO",2020-05-18,50,3,17,29784193
"AGO",2020-05-19,52,3,17,29784193
"AGO",2020-05-20,52,3,17,29784193
"AGO",2020-05-21,58,3,17,29784193
"AGO",2020-05-22,60,3,17,29784193
"AGO",2020-05-23,61,4,18,29784193
"AGO",2020-05-24,69,4,18,29784193
"AGO",2020-05-25,70,4,18,29784193
"AGO",2020-05-26,70,4,18,29784193
"AGO",2020-05-27,71,4,18,29784193
"AGO",2020-05-28,74,4,18,29784193
"AGO",2020-05-29,81,4,18,29784193
"AGO",2020-05-30,84,4,18,29784193
"AGO",2020-05-31,86,4,18,29784193
"AGO",2020-06-01,86,4,18,29784193
"AGO",2020-06-02,86,4,18,29784193
"AGO",2020-06-03,86,4,18,29784193
"AGO",2020-06-04,86,4,18,29784193
"AGO",2020-06-05,86,4,21,29784193
"AGO",2020-06-06,88,4,24,29784193
"AGO",2020-06-07,91,4,24,29784193
"AGO",2020-06-08,92,4,38,29784193
"AGO",2020-06-09,96,4,38,29784193
"AGO",2020-06-10,113,4,40,29784193
"AGO",2020-06-11,118,5,41,29784193
"AGO",2020-06-12,130,5,42,29784193
"AGO",2020-06-13,138,6,61,29784193
"AGO",2020-06-14,140,6,61,29784193
"AGO",2020-06-15,142,6,64,29784193
"AGO",2020-06-16,148,6,64,29784193
"AGO",2020-06-17,155,7,64,29784193
"AGO",2020-06-18,166,8,64,29784193
"AGO",2020-06-19,172,8,66,29784193
"AGO",2020-06-20,176,9,66,29784193
"AGO",2020-06-21,183,9,77,29784193
"AGO",2020-06-22,186,10,77,29784193
"AGO",2020-06-23,189,10,77,29784193
"AGO",2020-06-24,197,10,77,29784193
"AGO",2020-06-25,212,10,81,29784193
"AGO",2020-06-26,212,10,81,29784193
"AGO",2020-06-27,259,10,81,29784193
"AGO",2020-06-28,267,11,81,29784193
"AGO",2020-06-29,276,11,93,29784193
"AGO",2020-06-30,284,13,93,29784193
"AGO",2020-07-01,291,15,97,29784193
"AGO",2020-07-02,315,17,97,29784193
"AGO",2020-07-03,328,18,107,29784193
"AGO",2020-07-04,346,19,108,29784193
"AGO",2020-07-05,346,19,108,29784193
"AGO",2020-07-06,346,19,108,29784193
"AGO",2020-07-07,386,21,117,29784193
"AGO",2020-07-08,386,21,117,29784193
"AGO",2020-07-09,396,22,117,29784193
"AGO",2020-07-10,458,23,117,29784193
"AGO",2020-07-11,462,23,118,29784193
"AGO",2020-07-12,506,26,118,29784193
"AGO",2020-07-13,525,26,118,29784193
"AGO",2020-07-14,541,26,118,29784193
"AGO",2020-07-15,576,27,124,29784193
"AGO",2020-07-16,607,28,124,29784193
"AGO",2020-07-17,638,29,199,29784193
"AGO",2020-07-18,687,29,210,29784193
"AGO",2020-07-19,705,29,221,29784193
"AGO",2020-07-20,749,29,221,29784193
"AGO",2020-07-21,779,30,221,29784193
"AGO",2020-07-22,812,33,221,29784193
"AGO",2020-07-23,851,33,236,29784193
"AGO",2020-07-24,880,35,241,29784193
"AGO",2020-07-25,916,39,242,29784193
"AGO",2020-07-26,932,40,242,29784193
"AGO",2020-07-27,950,41,242,29784193
"AGO",2020-07-28,1000,47,266,29784193
"AGO",2020-07-29,1078,48,301,29784193
"AGO",2020-07-30,1109,51,395,29784193
